Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1986","1986","3050","FAO TIER 1","mil toneladas","1.2456","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1986","1986","3050","FAO TIER 1","mil toneladas","2.0549","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1987","1987","3050","FAO TIER 1","mil toneladas","1.2795","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1987","1987","3050","FAO TIER 1","mil toneladas","2.1108","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1988","1988","3050","FAO TIER 1","mil toneladas","1.4382","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1988","1988","3050","FAO TIER 1","mil toneladas","2.3727","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1989","1989","3050","FAO TIER 1","mil toneladas","1.445","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1989","1989","3050","FAO TIER 1","mil toneladas","2.3839","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1990","1990","3050","FAO TIER 1","mil toneladas","1.4406","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1990","1990","3050","FAO TIER 1","mil toneladas","2.3765","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1991","1991","3050","FAO TIER 1","mil toneladas","1.4767","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1991","1991","3050","FAO TIER 1","mil toneladas","2.4362","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1992","1992","3050","FAO TIER 1","mil toneladas","1.4667","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1992","1992","3050","FAO TIER 1","mil toneladas","2.4197","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1993","1993","3050","FAO TIER 1","mil toneladas","2.146","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1993","1993","3050","FAO TIER 1","mil toneladas","3.5403","E","Valor estimado",""
